number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_num_boost_round,params_subsample,state
86,0.9583307944207023,2024-10-04 20:38:52.172788,2024-10-04 20:39:04.350761,0 days 00:00:12.177973,0.1880730625366161,0.6240186276225724,0.012762281322539305,0.06391371274709835,4,2,984,0.9469753222528109,COMPLETE
87,0.9567589128334444,2024-10-04 20:39:04.351759,2024-10-04 20:39:13.457824,0 days 00:00:09.106065,0.3002406379378159,0.6303062491841163,0.0014320322252666866,0.05683951214030446,3,2,971,0.8387200937750131,COMPLETE
88,0.9561376382338217,2024-10-04 20:39:13.458822,2024-10-04 20:39:30.384168,0 days 00:00:16.925346,0.22464849057367184,0.6131659673354241,0.00259239330267395,0.011453942030498543,7,1,908,0.8646777644035685,COMPLETE
89,0.9583510223811249,2024-10-04 20:39:30.386162,2024-10-04 20:39:37.638145,0 days 00:00:07.251983,0.4829733161865571,0.5001897105067663,0.011974563609570416,0.15917873575453997,3,2,788,0.9456237701178772,COMPLETE
90,0.9566747090370408,2024-10-04 20:39:37.639143,2024-10-04 20:39:50.787300,0 days 00:00:13.148157,0.45323183843029863,0.5040224549793196,0.01682040500467391,0.16712745157334347,3,2,1419,0.8837196814958476,COMPLETE
91,0.9575556313558389,2024-10-04 20:39:50.788297,2024-10-04 20:39:57.778762,0 days 00:00:06.990465,0.1751069178230972,0.5284465962143758,0.01366675118518831,0.18197642005389325,3,1,740,0.9411727421841443,COMPLETE
92,0.9566955620521558,2024-10-04 20:39:57.779760,2024-10-04 20:40:05.819279,0 days 00:00:08.039519,0.12269502243425687,0.5114575476256569,0.0071821478650272155,0.06531838595944442,3,2,867,0.9127667598197103,COMPLETE
93,0.9582160522379042,2024-10-04 20:40:05.820276,2024-10-04 20:40:14.254846,0 days 00:00:08.434570,0.8811141418814028,0.5598226973203921,0.004501953715259121,0.15974521435378858,3,2,786,0.9559048187871924,COMPLETE
94,0.9576469548228328,2024-10-04 20:40:14.255843,2024-10-04 20:40:22.435428,0 days 00:00:08.179585,0.5847608894714109,0.557642013784604,0.004354541135755239,0.20078882376240442,3,2,792,0.9548033817842477,COMPLETE
95,0.9579821567720508,2024-10-04 20:40:22.436425,2024-10-04 20:40:32.189073,0 days 00:00:09.752648,0.36062293622264907,0.5451282172474194,0.01197419343248766,0.15361991448061488,3,2,960,0.9263119011937623,COMPLETE
96,0.9577892410824044,2024-10-04 20:40:32.190071,2024-10-04 20:40:38.558950,0 days 00:00:06.368879,0.925879999655498,0.526761354923232,0.005925815751837114,0.14384932077447973,3,1,671,0.902103123557174,COMPLETE
97,0.9582600203708299,2024-10-04 20:40:38.559947,2024-10-04 20:40:46.368076,0 days 00:00:07.808129,1.0253167042894424,0.5373489919288934,0.008305241604395205,0.11882974655874577,3,2,839,0.946215140430016,COMPLETE
98,0.9563653426817703,2024-10-04 20:40:46.369073,2024-10-04 20:40:55.865123,0 days 00:00:09.496050,1.078615174822443,0.5000171804350386,0.0034231498296296158,0.1608651243742193,4,1,849,0.9453795829214284,COMPLETE
99,0.9494748766707563,2024-10-04 20:40:55.866121,2024-10-04 20:41:08.397629,0 days 00:00:12.531508,0.8309134897108794,0.537812180930209,0.007682828678379782,0.17787166047796688,8,2,542,0.9194351639913295,COMPLETE
